Class,Precision,Recall,F1-Score,Support,Accuracy
Damaged concrete structures,0.9909390444810544,0.9844517184942717,0.9876847290640394,1222,0.9844517184942717
FallenTrees,0.9967170059093894,0.9301470588235294,0.9622820919175912,1632,0.9301470588235294
DamagedRoadSigns,1.0,0.8974358974358975,0.9459459459459459,39,0.8974358974358975
IllegalParking,1.0,0.8571428571428571,0.9230769230769231,7,0.8571428571428571
Graffitti,0.8620689655172413,0.9523809523809523,0.9049773755656109,210,0.9523809523809523
DeadAnimalsPollution,0.9333333333333333,0.875,0.9032258064516129,16,0.875
DamagedElectricalPoles,0.86,0.9176829268292683,0.887905604719764,328,0.9176829268292683
Garbage,0.7208791208791209,0.973293768545994,0.8282828282828283,337,0.973293768545994
Potholes and RoadCracks,0.8242424242424242,0.7371273712737128,0.7782546494992847,369,0.7371273712737128
